t,v1,v2
0.00215,6.2524,9.4351
0.00216,6.2769,9.4299
0.00217,6.3013,9.4247
0.00218,6.3257,9.4194
0.00219,6.35,9.4141
0.0022,6.3742,9.4088
0.00221,6.3984,9.4035
0.00222,6.4225,9.3981
0.00223,6.4466,9.3927
0.00224,6.4706,9.3873
0.00225,6.4945,9.3819
0.00226,6.5183,9.3765
0.00227,6.5421,9.371
0.00228,6.5659,9.3655
0.00229,6.5895,9.36
0.0023,6.6131,9.3544
0.00231,6.6367,9.3489
0.00232,6.6601,9.3433
0.00233,6.6835,9.3377
0.00234,6.7069,9.332
0.00235,6.7301,9.3264
0.00236,6.7533,9.3207
0.00237,6.7765,9.315
0.00238,6.7995,9.3093
0.00239,6.8225,9.3035
0.0024,6.8455,9.2978
0.00241,6.8683,9.292
0.00242,6.8911,9.2862
0.00243,6.9139,9.2803
0.00244,6.9365,9.2745
0.00245,6.9591,9.2686
0.00246,6.9817,9.2627
0.00247,7.0041,9.2567
0.00248,7.0265,9.2508
0.00249,7.0488,9.2448
0.0025,7.0711,9.2388
0.00251,7.0932,9.2328
0.00252,7.1154,9.2267
0.00253,7.1374,9.2207
0.00254,7.1594,9.2146
0.00255,7.1813,9.2085
0.00256,7.2031,9.2023
0.00257,7.2248,9.1962
0.00258,7.2465,9.19
0.00259,7.2681,9.1838
0.0026,7.2897,9.1775
0.00261,7.3112,9.1713
0.00262,7.3326,9.165
0.00263,7.3539,9.1587
0.00264,7.3751,9.1524
0.00265,7.3963,9.1461
0.00266,7.4174,9.1397
0.00267,7.4385,9.1333
0.00268,7.4594,9.1269
0.00269,7.4803,9.1205
0.0027,7.5011,9.114
0.00271,7.5218,9.1076
0.00272,7.5425,9.1011
0.00273,7.5631,9.0945
0.00274,7.5836,9.088
0.00275,7.6041,9.0814
0.00276,7.6244,9.0748
0.00277,7.6447,9.0682
0.00278,7.6649,9.0616
0.00279,7.6851,9.0549
0.0028,7.7051,9.0483
0.00281,7.7251,9.0416
0.00282,7.745,9.0348
0.00283,7.7649,9.0281
0.00284,7.7846,9.0213
0.00285,7.8043,9.0146
0.00286,7.8239,9.0077
0.00287,7.8434,9.0009
0.00288,7.8629,8.9941
0.00289,7.8823,8.9872
0.0029,7.9016,8.9803
0.00291,7.9208,8.9734
0.00292,7.9399,8.9664
0.00293,7.959,8.9594
0.00294,7.9779,8.9525
0.00295,7.9968,8.9454
0.00296,8.0157,8.9384
0.00297,8.0344,8.9314
0.00298,8.0531,8.9243
0.00299,8.0717,8.9172
0.003,8.0902,8.9101
0.00301,8.1086,8.9029
0.00302,8.1269,8.8958
0.00303,8.1452,8.8886
0.00304,8.1634,8.8814
0.00305,8.1815,8.8741
0.00306,8.1995,8.8669
0.00307,8.2175,8.8596
0.00308,8.2353,8.8523
0.00309,8.2531,8.845
0.0031,8.2708,8.8377
0.00311,8.2884,8.8303
0.00312,8.306,8.8229
0.00313,8.3234,8.8155
0.00314,8.3408,8.8081
0.00315,8.3581,8.8006
0.00316,8.3753,8.7932
0.00317,8.3924,8.7857
0.00318,8.4094,8.7782
0.00319,8.4264,8.7706
0.0032,8.4433,8.7631
0.00321,8.4601,8.7555
0.00322,8.4768,8.7479
0.00323,8.4934,8.7403
0.00324,8.5099,8.7326
0.00325,8.5264,8.725
0.00326,8.5428,8.7173
0.00327,8.5591,8.7096
0.00328,8.5753,8.7018
0.00329,8.5914,8.6941
0.0033,8.6074,8.6863
0.00331,8.6234,8.6785
0.00332,8.6392,8.6707
0.00333,8.655,8.6629
0.00334,8.6707,8.655
0.00335,8.6863,8.6471
0.00336,8.7018,8.6392
0.00337,8.7173,8.6313
0.00338,8.7326,8.6234
0.00339,8.7479,8.6154
0.0034,8.7631,8.6074
0.00341,8.7782,8.5994
0.00342,8.7932,8.5914
0.00343,8.8081,8.5833
0.00344,8.8229,8.5753
0.00345,8.8377,8.5672
0.00346,8.8523,8.5591
0.00347,8.8669,8.5509
0.00348,8.8814,8.5428
0.00349,8.8958,8.5346
0.0035,8.9101,8.5264
0.00351,8.9243,8.5182
0.00352,8.9384,8.5099
0.00353,8.9525,8.5017
0.00354,8.9664,8.4934
0.00355,8.9803,8.4851
0.00356,8.9941,8.4768
0.00357,9.0077,8.4684
0.00358,9.0213,8.4601
0.00359,9.0348,8.4517
0.0036,9.0483,8.4433
0.00361,9.0616,8.4349
0.00362,9.0748,8.4264
0.00363,9.088,8.4179
0.00364,9.1011,8.4094
0.00365,9.114,8.4009
0.00366,9.1269,8.3924
0.00367,9.1397,8.3839
0.00368,9.1524,8.3753
0.00369,9.165,8.3667
0.0037,9.1775,8.3581
0.00371,9.19,8.3494
0.00372,9.2023,8.3408
0.00373,9.2146,8.3321
0.00374,9.2267,8.3234
0.00375,9.2388,8.3147
0.00376,9.2508,8.306
0.00377,9.2627,8.2972
0.00378,9.2745,8.2884
0.00379,9.2862,8.2796
0.0038,9.2978,8.2708
0.00381,9.3093,8.262
0.00382,9.3207,8.2531
0.00383,9.332,8.2442
0.00384,9.3433,8.2353
0.00385,9.3544,8.2264
0.00386,9.3655,8.2175
0.00387,9.3765,8.2085
0.00388,9.3873,8.1995
0.00389,9.3981,8.1905
0.0039,9.4088,8.1815
0.00391,9.4194,8.1725
0.00392,9.4299,8.1634
0.00393,9.4403,8.1543
0.00394,9.4506,8.1452
0.00395,9.4609,8.1361
0.00396,9.471,8.1269
0.00397,9.481,8.1178
0.00398,9.491,8.1086
0.00399,9.5008,8.0994
0.004,9.5106,8.0902
0.00401,9.5202,8.0809
0.00402,9.5298,8.0717
0.00403,9.5393,8.0624
0.00404,9.5486,8.0531
0.00405,9.5579,8.0438
0.00406,9.5671,8.0344
0.00407,9.5762,8.0251
0.00408,9.5852,8.0157
0.00409,9.5941,8.0063
0.0041,9.6029,7.9968
0.00411,9.6117,7.9874
0.00412,9.6203,7.9779
0.00413,9.6288,7.9685
0.00414,9.6372,7.959
0.00415,9.6456,7.9494
0.00416,9.6538,7.9399
0.00417,9.662,7.9303
0.00418,9.67,7.9208
0.00419,9.678,7.9112
0.0042,9.6858,7.9016
0.00421,9.6936,7.8919
0.00422,9.7013,7.8823
0.00423,9.7088,7.8726
0.00424,9.7163,7.8629
0.00425,9.7237,7.8532
0.00426,9.731,7.8434
0.00427,9.7382,7.8337
0.00428,9.7453,7.8239
0.00429,9.7523,7.8141
0.0043,9.7592,7.8043
0.00431,9.766,7.7945
0.00432,9.7727,7.7846
0.00433,9.7793,7.7748
0.00434,9.7858,7.7649
0.00435,9.7922,7.755
0.00436,9.7986,7.745
0.00437,9.8048,7.7351
0.00438,9.8109,7.7251
0.00439,9.8169,7.7151
0.0044,9.8229,7.7051
0.00441,9.8287,7.6951
0.00442,9.8345,7.6851
0.00443,9.8401,7.675
0.00444,9.8456,7.6649
0.00445,9.8511,7.6548
0.00446,9.8564,7.6447
0.00447,9.8617,7.6346
0.00448,9.8669,7.6244
0.00449,9.8719,7.6143
0.0045,9.8769,7.6041
0.00451,9.8817,7.5938
0.00452,9.8865,7.5836
0.00453,9.8912,7.5734
0.00454,9.8958,7.5631
0.00455,9.9002,7.5528
0.00456,9.9046,7.5425
0.00457,9.9089,7.5322
0.00458,9.9131,7.5218
0.00459,9.9172,7.5115
0.0046,9.9211,7.5011
0.00461,9.925,7.4907
0.00462,9.9288,7.4803
0.00463,9.9325,7.4699
0.00464,9.9361,7.4594
0.00465,9.9396,7.4489
0.00466,9.943,7.4385
0.00467,9.9463,7.4279
0.00468,9.9495,7.4174
0.00469,9.9526,7.4069
0.0047,9.9556,7.3963
0.00471,9.9585,7.3857
0.00472,9.9613,7.3751
0.00473,9.964,7.3645
0.00474,9.9667,7.3539
0.00475,9.9692,7.3432
0.00476,9.9716,7.3326
0.00477,9.9739,7.3219
0.00478,9.9761,7.3112
0.00479,9.9782,7.3004
0.0048,9.9803,7.2897
0.00481,9.9822,7.2789
0.00482,9.984,7.2681
0.00483,9.9857,7.2573
0.00484,9.9874,7.2465
0.00485,9.9889,7.2357
0.00486,9.9903,7.2248
0.00487,9.9917,7.214
0.00488,9.9929,7.2031
0.00489,9.994,7.1922
0.0049,9.9951,7.1813
0.00491,9.996,7.1703
0.00492,9.9968,7.1594
0.00493,9.9976,7.1484
0.00494,9.9982,7.1374
0.00495,9.9988,7.1264
0.00496,9.9992,7.1154
0.00497,9.9996,7.1043
0.00498,9.9998,7.0932
0.00499,10,7.0822
0.005,10,7.0711
0.00501,10,7.06
0.00502,9.9998,7.0488
0.00503,9.9996,7.0377
0.00504,9.9992,7.0265
0.00505,9.9988,7.0153
0.00506,9.9982,7.0041
0.00507,9.9976,6.9929
0.00508,9.9968,6.9817
0.00509,9.996,6.9704
0.0051,9.9951,6.9591
0.00511,9.994,6.9478
0.00512,9.9929,6.9365
0.00513,9.9917,6.9252
0.00514,9.9903,6.9139
0.00515,9.9889,6.9025
0.00516,9.9874,6.8911
0.00517,9.9857,6.8797
0.00518,9.984,6.8683
0.00519,9.9822,6.8569
0.0052,9.9803,6.8455
0.00521,9.9782,6.834
0.00522,9.9761,6.8225
0.00523,9.9739,6.811
0.00524,9.9716,6.7995
0.00525,9.9692,6.788
0.00526,9.9667,6.7765
0.00527,9.964,6.7649
0.00528,9.9613,6.7533
0.00529,9.9585,6.7417
0.0053,9.9556,6.7301
0.00531,9.9526,6.7185
0.00532,9.9495,6.7069
0.00533,9.9463,6.6952
0.00534,9.943,6.6835
0.00535,9.9396,6.6718
0.00536,9.9361,6.6601
0.00537,9.9325,6.6484
0.00538,9.9288,6.6367
0.00539,9.925,6.6249
0.0054,9.9211,6.6131
0.00541,9.9172,6.6013
0.00542,9.9131,6.5895
0.00543,9.9089,6.5777
0.00544,9.9046,6.5659
0.00545,9.9002,6.554
0.00546,9.8958,6.5421
0.00547,9.8912,6.5302
0.00548,9.8865,6.5183
0.00549,9.8817,6.5064
0.0055,9.8769,6.4945
0.00551,9.8719,6.4825
0.00552,9.8669,6.4706
0.00553,9.8617,6.4586
0.00554,9.8564,6.4466
0.00555,9.8511,6.4346
0.00556,9.8456,6.4225
0.00557,9.8401,6.4105
0.00558,9.8345,6.3984
0.00559,9.8287,6.3863
0.0056,9.8229,6.3742
0.00561,9.8169,6.3621
0.00562,9.8109,6.35
0.00563,9.8048,6.3379
0.00564,9.7986,6.3257
0.00565,9.7922,6.3135
0.00566,9.7858,6.3013
0.00567,9.7793,6.2891
0.00568,9.7727,6.2769
0.00569,9.766,6.2647
0.0057,9.7592,6.2524
0.00571,9.7523,6.2402
0.00572,9.7453,6.2279
0.00573,9.7382,6.2156
0.00574,9.731,6.2033
0.00575,9.7237,6.1909
0.00576,9.7163,6.1786
0.00577,9.7088,6.1662
0.00578,9.7013,6.1539
0.00579,9.6936,6.1415
0.0058,9.6858,6.1291
0.00581,9.678,6.1167
0.00582,9.67,6.1042
0.00583,9.662,6.0918
0.00584,9.6538,6.0793
0.00585,9.6456,6.0668
0.00586,9.6372,6.0543
0.00587,9.6288,6.0418
0.00588,9.6203,6.0293
0.00589,9.6117,6.0168
0.0059,9.6029,6.0042
0.00591,9.5941,5.9916
0.00592,9.5852,5.979
0.00593,9.5762,5.9665
0.00594,9.5671,5.9538
0.00595,9.5579,5.9412
0.00596,9.5486,5.9286
0.00597,9.5393,5.9159
0.00598,9.5298,5.9032
0.00599,9.5202,5.8906
0.006,9.5106,5.8779
0.00601,9.5008,5.8651
0.00602,9.491,5.8524
0.00603,9.481,5.8397
0.00604,9.471,5.8269
0.00605,9.4609,5.8141
0.00606,9.4506,5.8013
0.00607,9.4403,5.7885
0.00608,9.4299,5.7757
0.00609,9.4194,5.7629
0.0061,9.4088,5.7501
0.00611,9.3981,5.7372
0.00612,9.3873,5.7243
0.00613,9.3765,5.7114
0.00614,9.3655,5.6985
0.00615,9.3544,5.6856
0.00616,9.3433,5.6727
0.00617,9.332,5.6597
0.00618,9.3207,5.6468
0.00619,9.3093,5.6338
0.0062,9.2978,5.6208
0.00621,9.2862,5.6078
0.00622,9.2745,5.5948
0.00623,9.2627,5.5818
0.00624,9.2508,5.5688
0.00625,9.2388,5.5557
0.00626,9.2267,5.5426
0.00627,9.2146,5.5296
0.00628,9.2023,5.5165
0.00629,9.19,5.5034
0.0063,9.1775,5.4902
0.00631,9.165,5.4771
0.00632,9.1524,5.4639
0.00633,9.1397,5.4508
0.00634,9.1269,5.4376
0.00635,9.114,5.4244
0.00636,9.1011,5.4112
0.00637,9.088,5.398
0.00638,9.0748,5.3848
0.00639,9.0616,5.3715
0.0064,9.0483,5.3583
0.00641,9.0348,5.345
0.00642,9.0213,5.3317
0.00643,9.0077,5.3184
0.00644,8.9941,5.3051
0.00645,8.9803,5.2918
0.00646,8.9664,5.2785
0.00647,8.9525,5.2651
0.00648,8.9384,5.2517
0.00649,8.9243,5.2384
0.0065,8.9101,5.225
0.00651,8.8958,5.2116
0.00652,8.8814,5.1982
0.00653,8.8669,5.1847
0.00654,8.8523,5.1713
0.00655,8.8377,5.1579
0.00656,8.8229,5.1444
0.00657,8.8081,5.1309
0.00658,8.7932,5.1174
0.00659,8.7782,5.1039
0.0066,8.7631,5.0904
0.00661,8.7479,5.0769
0.00662,8.7326,5.0633
0.00663,8.7173,5.0498
0.00664,8.7018,5.0362
0.00665,8.6863,5.0227
0.00666,8.6707,5.0091
0.00667,8.655,4.9955
0.00668,8.6392,4.9819
0.00669,8.6234,4.9682
0.0067,8.6074,4.9546
0.00671,8.5914,4.9409
0.00672,8.5753,4.9273
0.00673,8.5591,4.9136
0.00674,8.5428,4.8999
0.00675,8.5264,4.8862
0.00676,8.5099,4.8725
0.00677,8.4934,4.8588
0.00678,8.4768,4.845
0.00679,8.4601,4.8313
0.0068,8.4433,4.8175
0.00681,8.4264,4.8038
0.00682,8.4094,4.79
0.00683,8.3924,4.7762
0.00684,8.3753,4.7624
0.00685,8.3581,4.7486
0.00686,8.3408,4.7347
0.00687,8.3234,4.7209
0.00688,8.306,4.707
0.00689,8.2884,4.6932
0.0069,8.2708,4.6793
0.00691,8.2531,4.6654
0.00692,8.2353,4.6515
0.00693,8.2175,4.6376
0.00694,8.1995,4.6237
0.00695,8.1815,4.6097
0.00696,8.1634,4.5958
0.00697,8.1452,4.5818
0.00698,8.1269,4.5679
0.00699,8.1086,4.5539
0.007,8.0902,4.5399
0.00701,8.0717,4.5259
0.00702,8.0531,4.5119
0.00703,8.0344,4.4979
0.00704,8.0157,4.4838
0.00705,7.9968,4.4698
0.00706,7.9779,4.4557
0.00707,7.959,4.4417
0.00708,7.9399,4.4276
0.00709,7.9208,4.4135
0.0071,7.9016,4.3994
0.00711,7.8823,4.3853
0.00712,7.8629,4.3712
0.00713,7.8434,4.357
0.00714,7.8239,4.3429
0.00715,7.8043,4.3287
0.00716,7.7846,4.3146
0.00717,7.7649,4.3004
0.00718,7.745,4.2862
0.00719,7.7251,4.272
0.0072,7.7051,4.2578
0.00721,7.6851,4.2436
0.00722,7.6649,4.2293
0.00723,7.6447,4.2151
0.00724,7.6244,4.2009
0.00725,7.6041,4.1866
0.00726,7.5836,4.1723
0.00727,7.5631,4.158
0.00728,7.5425,4.1438
0.00729,7.5218,4.1295
0.0073,7.5011,4.1151
0.00731,7.4803,4.1008
0.00732,7.4594,4.0865
0.00733,7.4385,4.0721
0.00734,7.4174,4.0578
0.00735,7.3963,4.0434
0.00736,7.3751,4.0291
0.00737,7.3539,4.0147
0.00738,7.3326,4.0003
0.00739,7.3112,3.9859
0.0074,7.2897,3.9715
0.00741,7.2681,3.9571
0.00742,7.2465,3.9426
0.00743,7.2248,3.9282
0.00744,7.2031,3.9137
0.00745,7.1813,3.8993
0.00746,7.1594,3.8848
0.00747,7.1374,3.8703
0.00748,7.1154,3.8558
0.00749,7.0932,3.8413
0.0075,7.0711,3.8268
0.00751,7.0488,3.8123
0.00752,7.0265,3.7978
0.00753,7.0041,3.7833
0.00754,6.9817,3.7687
0.00755,6.9591,3.7542
0.00756,6.9365,3.7396
0.00757,6.9139,3.725
0.00758,6.8911,3.7104
0.00759,6.8683,3.6958
0.0076,6.8455,3.6812
0.00761,6.8225,3.6666
0.00762,6.7995,3.652
0.00763,6.7765,3.6374
0.00764,6.7533,3.6228
0.00765,6.7301,3.6081
0.00766,6.7069,3.5935
0.00767,6.6835,3.5788
0.00768,6.6601,3.5641
0.00769,6.6367,3.5494
0.0077,6.6131,3.5347
0.00771,6.5895,3.5201
0.00772,6.5659,3.5053
0.00773,6.5421,3.4906
0.00774,6.5183,3.4759
0.00775,6.4945,3.4612
0.00776,6.4706,3.4464
0.00777,6.4466,3.4317
0.00778,6.4225,3.4169
0.00779,6.3984,3.4022
0.0078,6.3742,3.3874
0.00781,6.35,3.3726
0.00782,6.3257,3.3578
0.00783,6.3013,3.343
0.00784,6.2769,3.3282
0.00785,6.2524,3.3134
0.00786,6.2279,3.2986
0.00787,6.2033,3.2837
0.00788,6.1786,3.2689
0.00789,6.1539,3.254
0.0079,6.1291,3.2392
0.00791,6.1042,3.2243
0.00792,6.0793,3.2094
0.00793,6.0543,3.1946
0.00794,6.0293,3.1797
0.00795,6.0042,3.1648
0.00796,5.979,3.1499
0.00797,5.9538,3.135
0.00798,5.9286,3.12
0.00799,5.9032,3.1051
0.008,5.8779,3.0902
0.00801,5.8524,3.0752
0.00802,5.8269,3.0603
0.00803,5.8013,3.0453
0.00804,5.7757,3.0304
0.00805,5.7501,3.0154
0.00806,5.7243,3.0004
0.00807,5.6985,2.9854
0.00808,5.6727,2.9704
0.00809,5.6468,2.9554
0.0081,5.6208,2.9404
0.00811,5.5948,2.9254
0.00812,5.5688,2.9104
0.00813,5.5426,2.8953
0.00814,5.5165,2.8803
0.00815,5.4902,2.8652
0.00816,5.4639,2.8502
0.00817,5.4376,2.8351
0.00818,5.4112,2.8201
0.00819,5.3848,2.805
0.0082,5.3583,2.7899
0.00821,5.3317,2.7748
0.00822,5.3051,2.7597
0.00823,5.2785,2.7446
0.00824,5.2517,2.7295
0.00825,5.225,2.7144
0.00826,5.1982,2.6993
0.00827,5.1713,2.6842
0.00828,5.1444,2.669
0.00829,5.1174,2.6539
0.0083,5.0904,2.6387
0.00831,5.0633,2.6236
0.00832,5.0362,2.6084
0.00833,5.0091,2.5932
0.00834,4.9819,2.5781
0.00835,4.9546,2.5629
0.00836,4.9273,2.5477
0.00837,4.8999,2.5325
0.00838,4.8725,2.5173
0.00839,4.845,2.5021
0.0084,4.8175,2.4869
0.00841,4.79,2.4717
0.00842,4.7624,2.4565
0.00843,4.7347,2.4412
0.00844,4.707,2.426
0.00845,4.6793,2.4108
0.00846,4.6515,2.3955
0.00847,4.6237,2.3802
0.00848,4.5958,2.365
0.00849,4.5679,2.3497
0.0085,4.5399,2.3345
0.00851,4.5119,2.3192
0.00852,4.4838,2.3039
0.00853,4.4557,2.2886
0.00854,4.4276,2.2733
0.00855,4.3994,2.258
0.00856,4.3712,2.2427
0.00857,4.3429,2.2274
0.00858,4.3146,2.2121
0.00859,4.2862,2.1968
0.0086,4.2578,2.1814
0.00861,4.2293,2.1661
0.00862,4.2009,2.1508
0.00863,4.1723,2.1354
0.00864,4.1438,2.1201
0.00865,4.1151,2.1047
0.00866,4.0865,2.0894
0.00867,4.0578,2.074
0.00868,4.0291,2.0586
0.00869,4.0003,2.0433
0.0087,3.9715,2.0279
0.00871,3.9426,2.0125
0.00872,3.9137,1.9971
0.00873,3.8848,1.9817
0.00874,3.8558,1.9663
0.00875,3.8268,1.9509
0.00876,3.7978,1.9355
0.00877,3.7687,1.9201
0.00878,3.7396,1.9047
0.00879,3.7104,1.8892
0.0088,3.6812,1.8738
0.00881,3.652,1.8584
0.00882,3.6228,1.8429
0.00883,3.5935,1.8275
0.00884,3.5641,1.8121
0.00885,3.5347,1.7966
0.00886,3.5053,1.7812
0.00887,3.4759,1.7657
0.00888,3.4464,1.7502
0.00889,3.4169,1.7348
0.0089,3.3874,1.7193
0.00891,3.3578,1.7038
0.00892,3.3282,1.6883
0.00893,3.2986,1.6728
0.00894,3.2689,1.6574
0.00895,3.2392,1.6419
0.00896,3.2094,1.6264
0.00897,3.1797,1.6109
0.00898,3.1499,1.5954
0.00899,3.12,1.5799
0.009,3.0902,1.5643
0.00901,3.0603,1.5488
0.00902,3.0304,1.5333
0.00903,3.0004,1.5178
0.00904,2.9704,1.5023
0.00905,2.9404,1.4867
0.00906,2.9104,1.4712
0.00907,2.8803,1.4557
0.00908,2.8502,1.4401
0.00909,2.8201,1.4246
0.0091,2.7899,1.409
0.00911,2.7597,1.3935
0.00912,2.7295,1.3779
0.00913,2.6993,1.3623
0.00914,2.669,1.3468
0.00915,2.6387,1.3312
0.00916,2.6084,1.3156
0.00917,2.5781,1.3001
0.00918,2.5477,1.2845
0.00919,2.5173,1.2689
0.0092,2.4869,1.2533
0.00921,2.4565,1.2377
0.00922,2.426,1.2222
0.00923,2.3955,1.2066
0.00924,2.365,1.191
0.00925,2.3345,1.1754
0.00926,2.3039,1.1598
0.00927,2.2733,1.1442
0.00928,2.2427,1.1286
0.00929,2.2121,1.113
0.0093,2.1814,1.0973
0.00931,2.1508,1.0817
0.00932,2.1201,1.0661
0.00933,2.0894,1.0505
0.00934,2.0586,1.0349
0.00935,2.0279,1.0192
0.00936,1.9971,1.0036
0.00937,1.9663,0.98799
0.00938,1.9355,0.97235
0.00939,1.9047,0.95672
0.0094,1.8738,0.94108
0.00941,1.8429,0.92544
0.00942,1.8121,0.9098
